id,listing_url,season,host_response_time,host_response_rate,host_acceptance_rate,host_verifications,neighbourhood_cleansed,room_type,accommodates,bedrooms,price,minimum_nights,number_of_reviews,review_scores_rating
269,https://www.airbnb.com/rooms/6218739,Spring_2025,within an hour,100%,100%,email/phone/work_email,Praha 1,Entire home/apt,3,1,1621,1,410,4.88
270,https://www.airbnb.com/rooms/6218745,Spring_2025,within an hour,100%,100%,email/phone/work_email,Praha 1,Entire home/apt,2,1,1990,1,408,4.88
271,https://www.airbnb.com/rooms/6219087,Spring_2025,within an hour,100%,100%,email/phone/work_email,Praha 1,Entire home/apt,3,1,1815,1,422,4.84
272,https://www.airbnb.com/rooms/5484508,Spring_2025,within a day,100%,0%,email/phone,Praha 1,Entire home/apt,4,1,1049,2,80,4.80
273,https://www.airbnb.com/rooms/5528865,Spring_2025,within an hour,100%,89%,email/phone,Praha 1,Entire home/apt,4,2,3640,2,167,4.83
274,https://www.airbnb.com/rooms/5554041,Spring_2025,within a few hours,100%,80%,email/phone,Praha 8,Entire home/apt,5,1,2000,3,47,4.60
275,https://www.airbnb.com/rooms/6264096,Spring_2025,within an hour,100%,100%,email/phone,Praha 3,Entire home/apt,2,1,627,2,340,4.16
276,https://www.airbnb.com/rooms/6266730,Spring_2025,within an hour,100%,99%,email/phone,Praha 10,Entire home/apt,4,1,2513,1,86,4.91
277,https://www.airbnb.com/rooms/5675676,Spring_2025,within an hour,100%,99%,email/phone,Praha 3,Entire home/apt,2,1,958,1,620,4.81
278,https://www.airbnb.com/rooms/5679394,Spring_2025,within an hour,100%,100%,email/phone/work_email,Praha 2,Entire home/apt,4,2,11803,2,31,4.45
279,https://www.airbnb.com/rooms/5717533,Spring_2025,within an hour,67%,75%,email/phone,Praha 5,Entire home/apt,4,1,1406,3,185,4.84
280,https://www.airbnb.com/rooms/5737577,Spring_2025,within an hour,100%,20%,email/phone,Praha 2,Entire home/apt,5,2,7680,2,34,4.94
281,https://www.airbnb.com/rooms/6423163,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,5,2,3800,1,711,4.84
282,https://www.airbnb.com/rooms/6459423,Spring_2025,within an hour,100%,100%,email/phone/work_email,Praha 1,Entire home/apt,5,2,1578,2,543,4.82
283,https://www.airbnb.com/rooms/6497083,Spring_2025,within an hour,100%,99%,email/phone/work_email,Praha 2,Entire home/apt,2,1,1017,2,220,4.77
284,https://www.airbnb.com/rooms/6501721,Spring_2025,within a few hours,100%,100%,email/phone,Praha 1,Entire home/apt,2,1,1714,4,111,4.89
285,https://www.airbnb.com/rooms/6517577,Spring_2025,within an hour,100%,100%,email/phone,Praha 7,Entire home/apt,4,1,6000,1,125,4.87
286,https://www.airbnb.com/rooms/6633377,Spring_2025,within an hour,100%,96%,email/phone,Praha 1,Entire home/apt,2,1,2629,1,186,4.73
287,https://www.airbnb.com/rooms/7970512,Spring_2025,within an hour,100%,89%,email/phone/work_email,Praha 3,Entire home/apt,2,1,1428,6,127,4.87
288,https://www.airbnb.com/rooms/8039392,Spring_2025,within an hour,100%,99%,email/phone,Praha 4,Entire home/apt,2,1,1145,2,203,4.95
289,https://www.airbnb.com/rooms/8048179,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,4,1,1894,1,388,4.85
290,https://www.airbnb.com/rooms/6684939,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,2,1,1295,2,574,4.94
291,https://www.airbnb.com/rooms/6701411,Spring_2025,within an hour,100%,96%,email/phone,Praha 10,Entire home/apt,4,2,1485,5,32,4.97
292,https://www.airbnb.com/rooms/8137605,Spring_2025,within an hour,100%,96%,email/phone,Praha 1,Entire home/apt,3,1,2876,1,60,4.85
293,https://www.airbnb.com/rooms/8157363,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,5,2,3800,2,399,4.93
294,https://www.airbnb.com/rooms/8177017,Spring_2025,within an hour,100%,99%,email/phone,Praha 1,Entire home/apt,4,1,1431,3,219,4.88
295,https://www.airbnb.com/rooms/6704008,Spring_2025,within a few hours,100%,57%,email/phone,Praha 7,Entire home/apt,4,2,2891,3,94,4.89
296,https://www.airbnb.com/rooms/6715595,Spring_2025,within a day,100%,84%,email/phone,Praha 1,Entire home/apt,2,1,2248,2,198,4.93
297,https://www.airbnb.com/rooms/8281469,Spring_2025,within an hour,100%,99%,email/phone,Praha 5,Entire home/apt,4,1,968,2,371,4.74
298,https://www.airbnb.com/rooms/8307485,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,3,1,1010,2,692,4.85
299,https://www.airbnb.com/rooms/8309561,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,4,2,1267,2,695,4.88
300,https://www.airbnb.com/rooms/8310129,Spring_2025,within an hour,100%,100%,email/phone,Praha 2,Entire home/apt,4,1,1010,2,624,4.90
301,https://www.airbnb.com/rooms/8316062,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,2,1,2485,2,364,4.88
302,https://www.airbnb.com/rooms/8316255,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,4,1,2452,2,328,4.89
303,https://www.airbnb.com/rooms/8334504,Spring_2025,within an hour,100%,100%,email/phone/work_email,Praha 1,Entire home/apt,5,2,2480,2,613,4.82
304,https://www.airbnb.com/rooms/8342747,Spring_2025,within an hour,100%,100%,email/phone,Praha 2,Entire home/apt,3,1,1126,2,652,4.88
305,https://www.airbnb.com/rooms/8342842,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,3,1,1361,2,654,4.87
306,https://www.airbnb.com/rooms/8342918,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,4,1,1016,2,660,4.87
307,https://www.airbnb.com/rooms/8414577,Spring_2025,within an hour,100%,100%,email/phone/work_email,Praha 1,Entire home/apt,4,2,4555,1,14,4.71
308,https://www.airbnb.com/rooms/8454488,Spring_2025,within an hour,100%,99%,email/phone/work_email,Praha 1,Entire home/apt,2,1,1997,3,504,4.91
309,https://www.airbnb.com/rooms/8489855,Spring_2025,within an hour,100%,100%,email/phone,Praha 2,Entire home/apt,4,1,1514,2,200,4.76
310,https://www.airbnb.com/rooms/6773847,Spring_2025,within an hour,100%,100%,email/phone,Praha 9,Entire home/apt,5,1,2029,2,208,4.99
311,https://www.airbnb.com/rooms/8551014,Spring_2025,within an hour,100%,100%,email/phone,Praha 8,Entire home/apt,4,1,1112,1,621,4.90
312,https://www.airbnb.com/rooms/8565142,Spring_2025,within an hour,100%,99%,email/phone,Praha 1,Entire home/apt,4,2,1486,2,357,4.75
313,https://www.airbnb.com/rooms/8575781,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,2,1,2250,1,377,4.92
314,https://www.airbnb.com/rooms/8587870,Spring_2025,within a few hours,100%,85%,email/phone,Praha 2,Entire home/apt,4,1,1131,3,235,4.80
315,https://www.airbnb.com/rooms/8604359,Spring_2025,within an hour,100%,100%,email/phone,Praha 2,Entire home/apt,2,1,1221,3,353,4.71
316,https://www.airbnb.com/rooms/6831715,Spring_2025,within an hour,100%,60%,email/phone,Praha 2,Entire home/apt,3,1,3150,2,13,4.77
317,https://www.airbnb.com/rooms/6841809,Spring_2025,within an hour,100%,100%,email/phone,Praha 3,Entire home/apt,4,1,2000,1,200,4.74
318,https://www.airbnb.com/rooms/6857590,Spring_2025,within a few hours,92%,83%,email/phone/work_email,Praha 2,Entire home/apt,3,1,6767,1,66,4.77
319,https://www.airbnb.com/rooms/8611752,Spring_2025,within an hour,100%,98%,email/phone,Praha 5,Entire home/apt,2,1,892,1,420,4.90
320,https://www.airbnb.com/rooms/8611871,Spring_2025,within a few hours,100%,91%,email/phone,Praha 3,Entire home/apt,4,1,1570,2,21,4.76
321,https://www.airbnb.com/rooms/8637555,Spring_2025,within an hour,99%,100%,email/phone,Praha 2,Entire home/apt,2,1,1520,1,468,4.75
322,https://www.airbnb.com/rooms/8650320,Spring_2025,within an hour,100%,97%,email/phone,Praha 5,Entire home/apt,2,1,1619,1,247,4.91
323,https://www.airbnb.com/rooms/6879736,Spring_2025,within an hour,100%,96%,email/phone,Praha 2,Entire home/apt,2,1,2179,3,193,4.98
324,https://www.airbnb.com/rooms/6973285,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,2,1,1738,3,413,4.97
325,https://www.airbnb.com/rooms/7002186,Spring_2025,within an hour,100%,96%,email/phone,Praha 1,Entire home/apt,2,1,2629,1,44,4.86
326,https://www.airbnb.com/rooms/7021250,Spring_2025,within an hour,100%,100%,email/phone/work_email,Praha 2,Entire home/apt,4,2,11799,2,60,4.62
327,https://www.airbnb.com/rooms/7061831,Spring_2025,within a few hours,88%,67%,email/phone,Praha 11,Entire home/apt,2,1,989,2,206,4.90
328,https://www.airbnb.com/rooms/7080353,Spring_2025,within a day,100%,54%,email/phone/work_email,Praha 2,Entire home/apt,3,1,2209,1,31,4.68
329,https://www.airbnb.com/rooms/7080401,Spring_2025,within a day,100%,54%,email/phone/work_email,Praha 2,Entire home/apt,2,1,2245,1,8,4.75
330,https://www.airbnb.com/rooms/8675332,Spring_2025,within an hour,90%,98%,email/phone,Praha 1,Entire home/apt,3,1,2286,2,66,4.58
331,https://www.airbnb.com/rooms/8693435,Spring_2025,within a day,100%,50%,email/phone,Praha 2,Entire home/apt,4,2,2410,3,68,4.88
332,https://www.airbnb.com/rooms/8787826,Spring_2025,within an hour,100%,100%,email/phone,Praha 5,Entire home/apt,3,1,2249,2,37,4.84
333,https://www.airbnb.com/rooms/8843759,Spring_2025,within an hour,100%,100%,email/phone,Praha 5,Entire home/apt,2,1,1006,2,305,4.70
334,https://www.airbnb.com/rooms/7238602,Spring_2025,within an hour,100%,100%,email/phone,Praha 2,Entire home/apt,4,1,1888,2,476,4.87
335,https://www.airbnb.com/rooms/7239297,Spring_2025,within a day,90%,76%,email/phone,Praha 3,Entire home/apt,2,2,1121,2,220,4.70
336,https://www.airbnb.com/rooms/7352200,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,4,2,1901,6,307,4.88
337,https://www.airbnb.com/rooms/8896892,Spring_2025,within an hour,100%,100%,email/phone,Praha 3,Entire home/apt,4,1,1886,1,96,4.94
338,https://www.airbnb.com/rooms/8897075,Spring_2025,within an hour,100%,100%,email/phone,Praha 2,Entire home/apt,4,1,5023,2,73,4.96
339,https://www.airbnb.com/rooms/8897213,Spring_2025,within a few hours,100%,91%,email/phone,Praha 3,Entire home/apt,4,1,1570,2,29,4.59
340,https://www.airbnb.com/rooms/8902123,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,3,1,1457,2,438,4.89
341,https://www.airbnb.com/rooms/8927962,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,4,1,1790,3,285,4.94
342,https://www.airbnb.com/rooms/7377708,Spring_2025,within an hour,100%,87%,email/phone,Praha 1,Entire home/apt,2,1,2773,3,154,4.78
343,https://www.airbnb.com/rooms/7397118,Spring_2025,within an hour,100%,100%,email/phone,Praha 6,Entire home/apt,4,1,1841,5,115,4.90
344,https://www.airbnb.com/rooms/7464775,Spring_2025,within an hour,100%,100%,email/phone/work_email,Praha 2,Entire home/apt,4,1,10603,2,26,4.42
345,https://www.airbnb.com/rooms/7505057,Spring_2025,within an hour,100%,100%,email/phone/work_email,Praha 2,Entire home/apt,2,1,2076,3,15,4.67
346,https://www.airbnb.com/rooms/8951331,Spring_2025,within an hour,100%,83%,email/phone,Praha 2,Entire home/apt,5,1,1260,2,289,4.78
347,https://www.airbnb.com/rooms/9056876,Spring_2025,within an hour,100%,100%,email/phone,Praha 2,Entire home/apt,4,1,1265,2,211,4.64
348,https://www.airbnb.com/rooms/9246305,Spring_2025,within an hour,90%,100%,email/phone,Praha 1,Entire home/apt,2,1,1031,2,336,4.90
349,https://www.airbnb.com/rooms/9290067,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,2,1,1957,2,422,4.95
350,https://www.airbnb.com/rooms/9398256,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,4,1,3348,1,18,4.89
351,https://www.airbnb.com/rooms/9399262,Spring_2025,within an hour,100%,89%,phone,Praha 2,Entire home/apt,3,1,911,1,24,4.38
352,https://www.airbnb.com/rooms/9357069,Spring_2025,within an hour,100%,93%,email/phone,Praha 1,Entire home/apt,2,1,1818,3,150,4.79
353,https://www.airbnb.com/rooms/9367559,Spring_2025,within a day,100%,67%,email/phone,Praha 10,Entire home/apt,5,2,2000,3,59,4.78
354,https://www.airbnb.com/rooms/9398147,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,4,2,5763,1,34,4.94
355,https://www.airbnb.com/rooms/10831342,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,4,1,2183,1,19,4.74
356,https://www.airbnb.com/rooms/10831347,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,4,1,2183,1,15,4.73
357,https://www.airbnb.com/rooms/9458692,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,4,1,1937,2,441,4.56
358,https://www.airbnb.com/rooms/10831403,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,3,1,2059,1,17,4.88
359,https://www.airbnb.com/rooms/10964931,Spring_2025,within an hour,100%,100%,email/phone,Praha 5,Entire home/apt,5,1,2415,2,262,4.79
360,https://www.airbnb.com/rooms/10983221,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,2,1,2079,1,541,4.88
361,https://www.airbnb.com/rooms/11199920,Spring_2025,within an hour,100%,95%,email/phone,Praha 3,Entire home/apt,3,1,1506,2,167,4.92
362,https://www.airbnb.com/rooms/11226201,Spring_2025,within an hour,100%,100%,email/phone,Praha 7,Entire home/apt,2,1,3546,2,28,5.00
363,https://www.airbnb.com/rooms/11238545,Spring_2025,within a few hours,100%,82%,email/phone,Praha 3,Entire home/apt,2,1,1223,1,122,4.66
364,https://www.airbnb.com/rooms/11278795,Spring_2025,within an hour,100%,100%,email/phone,Praha 2,Entire home/apt,4,1,1200,2,569,4.91
365,https://www.airbnb.com/rooms/9571502,Spring_2025,within a few hours,95%,48%,email/phone,Praha 8,Entire home/apt,2,1,1550,5,32,4.94
366,https://www.airbnb.com/rooms/9591030,Spring_2025,within an hour,100%,100%,email/phone,Praha 13,Entire home/apt,4,2,1011,2,409,4.77
367,https://www.airbnb.com/rooms/9647441,Spring_2025,within an hour,100%,100%,email/phone,Praha 5,Entire home/apt,3,1,861,2,523,4.83
368,https://www.airbnb.com/rooms/11301190,Spring_2025,within an hour,100%,98%,email/phone,Praha 1,Entire home/apt,2,1,1403,3,473,4.86
369,https://www.airbnb.com/rooms/11330253,Spring_2025,within an hour,100%,100%,email/phone/work_email,Praha 1,Entire home/apt,5,2,1968,2,536,4.87
370,https://www.airbnb.com/rooms/11450090,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,2,1,1414,3,42,4.93
371,https://www.airbnb.com/rooms/11451152,Spring_2025,within an hour,100%,100%,email/phone/work_email,Praha 2,Entire home/apt,4,1,11771,1,19,4.53
372,https://www.airbnb.com/rooms/11505320,Spring_2025,within an hour,100%,99%,email/phone,Praha 3,Entire home/apt,4,1,1183,2,208,4.93
373,https://www.airbnb.com/rooms/9770551,Spring_2025,within an hour,100%,99%,email/phone/work_email,Praha 1,Entire home/apt,4,1,4552,2,114,4.89
374,https://www.airbnb.com/rooms/9773001,Spring_2025,within a day,67%,60%,email/phone,Praha 10,Entire home/apt,2,1,780,4,105,4.50
375,https://www.airbnb.com/rooms/9789189,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,2,1,1291,2,163,4.60
376,https://www.airbnb.com/rooms/11541176,Spring_2025,within a few hours,100%,81%,email/phone,Praha 7,Entire home/apt,5,2,2023,4,61,4.90
377,https://www.airbnb.com/rooms/11566602,Spring_2025,within a day,86%,85%,email/phone,Praha 2,Entire home/apt,2,2,2500,3,135,4.93
378,https://www.airbnb.com/rooms/11685439,Spring_2025,within an hour,100%,100%,email/phone/work_email,Praha 2,Entire home/apt,4,1,10687,2,13,4.69
379,https://www.airbnb.com/rooms/11697926,Spring_2025,within an hour,100%,100%,email/phone,Praha 2,Entire home/apt,3,1,1264,1,388,4.89
380,https://www.airbnb.com/rooms/9800210,Spring_2025,within an hour,100%,98%,email/phone,Praha 6,Entire home/apt,4,2,1808,4,28,4.82
381,https://www.airbnb.com/rooms/9808136,Spring_2025,within an hour,100%,97%,email/phone,Praha 13,Entire home/apt,3,1,1484,2,155,4.77
382,https://www.airbnb.com/rooms/9818113,Spring_2025,within an hour,100%,98%,email/phone,Praha 6,Entire home/apt,4,2,2380,4,19,4.89
383,https://www.airbnb.com/rooms/11728219,Spring_2025,within a few hours,100%,77%,email/phone,Praha 4,Entire home/apt,4,2,1755,4,100,4.85
384,https://www.airbnb.com/rooms/11766068,Spring_2025,within an hour,100%,97%,email/phone/work_email,Praha 7,Entire home/apt,4,1,1210,1,284,4.58
385,https://www.airbnb.com/rooms/11776879,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,4,1,1278,1,391,4.72
386,https://www.airbnb.com/rooms/9824987,Spring_2025,within a day,83%,25%,email/phone,Praha 4,Entire home/apt,3,2,1200,2,6,5.00
387,https://www.airbnb.com/rooms/9825087,Spring_2025,within an hour,100%,100%,email/phone,Praha 8,Entire home/apt,3,1,1444,2,435,4.76
388,https://www.airbnb.com/rooms/9829761,Spring_2025,within an hour,100%,100%,email/phone,Praha 8,Entire home/apt,5,1,1792,1,445,4.86
389,https://www.airbnb.com/rooms/9830902,Spring_2025,within an hour,100%,97%,email/phone,Praha 1,Entire home/apt,2,1,1808,1,48,4.96
390,https://www.airbnb.com/rooms/11858449,Spring_2025,within an hour,100%,100%,email/phone,Praha 6,Entire home/apt,2,1,1620,2,158,4.87
391,https://www.airbnb.com/rooms/11937702,Spring_2025,a few days or more,0%,0%,email/phone,Praha 10,Entire home/apt,2,1,2000,2,83,4.72
392,https://www.airbnb.com/rooms/9836425,Spring_2025,within an hour,100%,100%,email/phone,Praha 3,Entire home/apt,5,2,2850,7,17,4.94
393,https://www.airbnb.com/rooms/9839921,Spring_2025,within an hour,100%,100%,email/phone,Praha 8,Entire home/apt,4,2,1054,2,515,4.86
